merchant_order_id,razorpay_order_id,amount,currency,customer_ref,invoice_id,status,created_at,merchant_name
MORD-RICH-0019,order_TYLcPgaT43qonl,7987.00,INR,CUST-RICH-0019,INV-RICH-0019,paid,2026-09-04T10:30:00+00:00,Metro Gadgets
MORD-RICH-0020,order_TYLcPi2z0VqsQV,208.00,INR,CUST-RICH-0020,INV-RICH-0020,paid,2026-09-04T10:35:00+00:00,Harbor Pharmacy
MORD-RICH-0021,order_TYLcRXUdbHVAQf,20251.00,INR,CUST-RICH-0021,INV-RICH-0021,paid,2026-09-04T10:40:00+00:00,Nova Apparel
MORD-RICH-0022,order_TYLcPntttVYbks,2770.00,INR,CUST-RICH-0022,INV-RICH-0022,paid,2026-09-04T10:45:00+00:00,Oak & Stone
MORD-RICH-0023,order_TYLcRXykmXMuEo,3753.00,INR,CUST-RICH-0023,INV-RICH-0023,paid,2026-09-04T10:50:00+00:00,QuickBasket
MORD-RICH-0024,order_TYLcRdi9DKqlcF,9537.00,INR,CUST-RICH-0024,INV-RICH-0024,paid,2026-09-04T10:55:00+00:00,Sunrise Electronics
MORD-RICH-0025,order_TYLcRftAADwVuE,3337.00,INR,CUST-RICH-0025,INV-RICH-0025,paid,2026-09-04T11:00:00+00:00,Northstar Retail
MORD-RICH-0026,order_TYLcRg5CcFSoBA,14859.00,INR,CUST-RICH-0026,INV-RICH-0026,paid,2026-09-04T11:05:00+00:00,BlueCart Foods
MORD-RICH-0027,order_TYLcRkJjwjvk5m,501.00,INR,CUST-RICH-0027,INV-RICH-0027,paid,2026-09-04T11:10:00+00:00,UrbanNest
MORD-RICH-0028,order_TYLcTXphszCX5P,22576.00,INR,CUST-RICH-0028,INV-RICH-0028,paid,2026-09-04T11:15:00+00:00,Aster Mobility
MORD-RICH-0029,order_TYLcRlwqt6SgOa,16190.00,INR,CUST-RICH-0029,INV-RICH-0029,paid,2026-09-04T11:20:00+00:00,Craft & Co
MORD-RICH-0030,order_TYLcTYolYs8Wao,22387.00,INR,CUST-RICH-0030,INV-RICH-0030,paid,2026-09-04T11:25:00+00:00,GreenLeaf Market
MORD-RICH-0031,order_TYLcTdLxdH9Gl5,10421.00,INR,CUST-RICH-0031,INV-RICH-0031,paid,2026-09-04T11:30:00+00:00,Metro Gadgets
MORD-RICH-0032,order_TYLcTfWuf6uSFS,7013.00,INR,CUST-RICH-0032,INV-RICH-0032,paid,2026-09-04T11:35:00+00:00,Harbor Pharmacy
MORD-RICH-0033,order_TYLcTgwjx8nitr,13141.00,INR,CUST-RICH-0033,INV-RICH-0033,paid,2026-09-04T11:40:00+00:00,Nova Apparel
MORD-RICH-0034,order_TYLcTizdzq7lqD,8366.00,INR,CUST-RICH-0034,INV-RICH-0034,paid,2026-09-04T11:45:00+00:00,Oak & Stone
MORD-RICH-0035,order_TYLcVYpKXQ8srD,11517.00,INR,CUST-RICH-0035,INV-RICH-0035,paid,2026-09-04T11:50:00+00:00,QuickBasket
MORD-RICH-0036,order_TYLcTnpax9XEuw,11811.00,INR,CUST-RICH-0036,INV-RICH-0036,paid,2026-09-04T11:55:00+00:00,Sunrise Electronics
MORD-RICH-0037,order_TYLcVYS01wFkCo,12457.00,INR,CUST-RICH-0037,INV-RICH-0037,paid,2026-09-04T12:00:00+00:00,Northstar Retail
MORD-RICH-0038,order_TYLcViAgal3ITA,24568.00,INR,CUST-RICH-0038,INV-RICH-0038,paid,2026-09-04T12:05:00+00:00,BlueCart Foods
MORD-RICH-0039,order_TYLcVfZPdYVcIh,16954.00,INR,CUST-RICH-0039,INV-RICH-0039,paid,2026-09-04T12:10:00+00:00,UrbanNest
MORD-RICH-0040,order_TYLcVgu3AqDPf8,21021.00,INR,CUST-RICH-0040,INV-RICH-0040,paid,2026-09-04T12:15:00+00:00,Aster Mobility
MORD-RICH-0041,order_TYLcVnWKDR7Lqs,2625.00,INR,CUST-RICH-0041,INV-RICH-0041,paid,2026-09-04T12:20:00+00:00,Craft & Co
MORD-RICH-0042,order_TYLcVnHbGA3wR0,23819.00,INR,CUST-RICH-0042,INV-RICH-0042,paid,2026-09-04T12:25:00+00:00,GreenLeaf Market
MORD-RICH-0043,order_TYLcXWEw1ckU9S,11279.00,INR,CUST-RICH-0043,INV-RICH-0043,paid,2026-09-04T12:30:00+00:00,Metro Gadgets
MORD-RICH-0044,order_TYLcXb7EfOOpBj,3063.00,INR,CUST-RICH-0044,INV-RICH-0044,paid,2026-09-04T12:35:00+00:00,Harbor Pharmacy
MORD-RICH-0045,order_TYLcXbAOSwqjux,18391.00,INR,CUST-RICH-0045,INV-RICH-0045,paid,2026-09-04T12:40:00+00:00,Nova Apparel
MORD-RICH-0046,order_TYLcXfd353C5QN,17756.00,INR,CUST-RICH-0046,INV-RICH-0046,paid,2026-09-04T12:45:00+00:00,Oak & Stone
MORD-RICH-0047,order_TYLcXgTAjqYkoB,9697.00,INR,CUST-RICH-0047,INV-RICH-0047,paid,2026-09-04T12:50:00+00:00,QuickBasket
MORD-RICH-0048,order_TYLcXi8uYRdatl,9549.00,INR,CUST-RICH-0048,INV-RICH-0048,paid,2026-09-04T12:55:00+00:00,Sunrise Electronics
MORD-RICH-0049,order_TYLcXlvDBGON7X,15114.00,INR,CUST-RICH-0049,INV-RICH-0049,paid,2026-09-04T13:00:00+00:00,Northstar Retail
MORD-RICH-0050,order_TYLcZWyCQuRhZu,4741.00,INR,CUST-RICH-0050,INV-RICH-0050,paid,2026-09-04T13:05:00+00:00,BlueCart Foods
MORD-RICH-0051,order_TYLcZXbBGRBxdG,21253.00,INR,CUST-RICH-0051,INV-RICH-0051,paid,2026-09-04T13:10:00+00:00,UrbanNest
MORD-RICH-0052,order_TYLcZhFbclNgtf,23192.00,INR,CUST-RICH-0052,INV-RICH-0052,paid,2026-09-04T13:15:00+00:00,Aster Mobility
MORD-RICH-0053,order_TYLcZfR738GYJ3,23600.00,INR,CUST-RICH-0053,INV-RICH-0053,paid,2026-09-04T13:20:00+00:00,Craft & Co
MORD-RICH-0054,order_TYLcZemnVjvNAr,19046.00,INR,CUST-RICH-0054,INV-RICH-0054,paid,2026-09-04T13:25:00+00:00,GreenLeaf Market
MORD-RICH-0055,order_TYLcZmOZDHLSp4,10250.00,INR,CUST-RICH-0055,INV-RICH-0055,paid,2026-09-04T13:30:00+00:00,Metro Gadgets
MORD-RICH-0056,order_TYLcZm8mCiOflz,935.00,INR,CUST-RICH-0056,INV-RICH-0056,paid,2026-09-04T13:35:00+00:00,Harbor Pharmacy
MORD-RICH-0057,order_TYLcbazoFojIzq,23418.00,INR,CUST-RICH-0057,INV-RICH-0057,paid,2026-09-04T13:40:00+00:00,Nova Apparel
MORD-RICH-0058,order_TYLcbbOIiQk4bq,12211.00,INR,CUST-RICH-0058,INV-RICH-0058,paid,2026-09-04T13:45:00+00:00,Oak & Stone
MORD-RICH-0059,order_TYLcbca7fiB7uC,12037.00,INR,CUST-RICH-0059,INV-RICH-0059,paid,2026-09-04T13:50:00+00:00,QuickBasket
MORD-RICH-0060,order_TYLcbhAjCtTGkJ,15233.00,INR,CUST-RICH-0060,INV-RICH-0060,paid,2026-09-04T13:55:00+00:00,Sunrise Electronics
