merchant_order_id,razorpay_order_id,amount,currency,customer_ref,invoice_id,status,created_at,merchant_name
MORD-RICH-0017,RICH-ORDER-0017,19344.00,INR,CUST-RICH-0017,INV-RICH-0017,paid,2026-09-04T10:20:00+00:00,Craft & Co
MORD-RICH-0018,RICH-ORDER-0018,14578.00,INR,CUST-RICH-0018,INV-RICH-0018,paid,2026-09-04T10:25:00+00:00,GreenLeaf Market
MORD-RICH-0019,RICH-ORDER-0019,7987.00,INR,CUST-RICH-0019,INV-RICH-0019,paid,2026-09-04T10:30:00+00:00,Metro Gadgets
MORD-RICH-0020,RICH-ORDER-0020,208.00,INR,CUST-RICH-0020,INV-RICH-0020,paid,2026-09-04T10:35:00+00:00,Harbor Pharmacy
MORD-RICH-0021,RICH-ORDER-0021,20251.00,INR,CUST-RICH-0021,INV-RICH-0021,paid,2026-09-04T10:40:00+00:00,Nova Apparel
MORD-RICH-0022,RICH-ORDER-0022,2770.00,INR,CUST-RICH-0022,INV-RICH-0022,paid,2026-09-04T10:45:00+00:00,Oak & Stone
MORD-RICH-0023,RICH-ORDER-0023,3753.00,INR,CUST-RICH-0023,INV-RICH-0023,paid,2026-09-04T10:50:00+00:00,QuickBasket
MORD-RICH-0024,RICH-ORDER-0024,9537.00,INR,CUST-RICH-0024,INV-RICH-0024,paid,2026-09-04T10:55:00+00:00,Sunrise Electronics
MORD-RICH-0025,RICH-ORDER-0025,3337.00,INR,CUST-RICH-0025,INV-RICH-0025,paid,2026-09-04T11:00:00+00:00,Northstar Retail
MORD-RICH-0026,RICH-ORDER-0026,14859.00,INR,CUST-RICH-0026,INV-RICH-0026,paid,2026-09-04T11:05:00+00:00,BlueCart Foods
MORD-RICH-0027,RICH-ORDER-0027,501.00,INR,CUST-RICH-0027,INV-RICH-0027,paid,2026-09-04T11:10:00+00:00,UrbanNest
MORD-RICH-0028,RICH-ORDER-0028,22576.00,INR,CUST-RICH-0028,INV-RICH-0028,paid,2026-09-04T11:15:00+00:00,Aster Mobility
MORD-RICH-0029,RICH-ORDER-0029,16190.00,INR,CUST-RICH-0029,INV-RICH-0029,paid,2026-09-04T11:20:00+00:00,Craft & Co
MORD-RICH-0030,RICH-ORDER-0030,22387.00,INR,CUST-RICH-0030,INV-RICH-0030,paid,2026-09-04T11:25:00+00:00,GreenLeaf Market
MORD-RICH-0031,RICH-ORDER-0031,10421.00,INR,CUST-RICH-0031,INV-RICH-0031,paid,2026-09-04T11:30:00+00:00,Metro Gadgets
MORD-RICH-0032,RICH-ORDER-0032,7013.00,INR,CUST-RICH-0032,INV-RICH-0032,paid,2026-09-04T11:35:00+00:00,Harbor Pharmacy
MORD-RICH-0033,RICH-ORDER-0033,13141.00,INR,CUST-RICH-0033,INV-RICH-0033,paid,2026-09-04T11:40:00+00:00,Nova Apparel
MORD-RICH-0034,RICH-ORDER-0034,8366.00,INR,CUST-RICH-0034,INV-RICH-0034,paid,2026-09-04T11:45:00+00:00,Oak & Stone
MORD-RICH-0035,RICH-ORDER-0035,11517.00,INR,CUST-RICH-0035,INV-RICH-0035,paid,2026-09-04T11:50:00+00:00,QuickBasket
MORD-RICH-0036,RICH-ORDER-0036,11811.00,INR,CUST-RICH-0036,INV-RICH-0036,paid,2026-09-04T11:55:00+00:00,Sunrise Electronics
MORD-RICH-0037,RICH-ORDER-0037,12457.00,INR,CUST-RICH-0037,INV-RICH-0037,paid,2026-09-04T12:00:00+00:00,Northstar Retail
MORD-RICH-0038,RICH-ORDER-0038,24568.00,INR,CUST-RICH-0038,INV-RICH-0038,paid,2026-09-04T12:05:00+00:00,BlueCart Foods
MORD-RICH-0039,RICH-ORDER-0039,16954.00,INR,CUST-RICH-0039,INV-RICH-0039,paid,2026-09-04T12:10:00+00:00,UrbanNest
MORD-RICH-0040,RICH-ORDER-0040,21021.00,INR,CUST-RICH-0040,INV-RICH-0040,paid,2026-09-04T12:15:00+00:00,Aster Mobility
MORD-RICH-0041,RICH-ORDER-0041,2625.00,INR,CUST-RICH-0041,INV-RICH-0041,paid,2026-09-04T12:20:00+00:00,Craft & Co
MORD-RICH-0042,RICH-ORDER-0042,23819.00,INR,CUST-RICH-0042,INV-RICH-0042,paid,2026-09-04T12:25:00+00:00,GreenLeaf Market
MORD-RICH-0043,RICH-ORDER-0043,11279.00,INR,CUST-RICH-0043,INV-RICH-0043,paid,2026-09-04T12:30:00+00:00,Metro Gadgets
MORD-RICH-0044,RICH-ORDER-0044,3063.00,INR,CUST-RICH-0044,INV-RICH-0044,paid,2026-09-04T12:35:00+00:00,Harbor Pharmacy
MORD-RICH-0045,RICH-ORDER-0045,18391.00,INR,CUST-RICH-0045,INV-RICH-0045,paid,2026-09-04T12:40:00+00:00,Nova Apparel
MORD-RICH-0046,RICH-ORDER-0046,17756.00,INR,CUST-RICH-0046,INV-RICH-0046,paid,2026-09-04T12:45:00+00:00,Oak & Stone
MORD-RICH-0047,RICH-ORDER-0047,9697.00,INR,CUST-RICH-0047,INV-RICH-0047,paid,2026-09-04T12:50:00+00:00,QuickBasket
MORD-RICH-0048,RICH-ORDER-0048,9549.00,INR,CUST-RICH-0048,INV-RICH-0048,paid,2026-09-04T12:55:00+00:00,Sunrise Electronics
MORD-RICH-0049,RICH-ORDER-0049,15114.00,INR,CUST-RICH-0049,INV-RICH-0049,paid,2026-09-04T13:00:00+00:00,Northstar Retail
MORD-RICH-0050,RICH-ORDER-0050,4741.00,INR,CUST-RICH-0050,INV-RICH-0050,paid,2026-09-04T13:05:00+00:00,BlueCart Foods
MORD-RICH-0051,RICH-ORDER-0051,21253.00,INR,CUST-RICH-0051,INV-RICH-0051,paid,2026-09-04T13:10:00+00:00,UrbanNest
MORD-RICH-0052,RICH-ORDER-0052,23192.00,INR,CUST-RICH-0052,INV-RICH-0052,paid,2026-09-04T13:15:00+00:00,Aster Mobility
MORD-RICH-0053,RICH-ORDER-0053,23600.00,INR,CUST-RICH-0053,INV-RICH-0053,paid,2026-09-04T13:20:00+00:00,Craft & Co
MORD-RICH-0054,RICH-ORDER-0054,19046.00,INR,CUST-RICH-0054,INV-RICH-0054,paid,2026-09-04T13:25:00+00:00,GreenLeaf Market
MORD-RICH-0055,RICH-ORDER-0055,10250.00,INR,CUST-RICH-0055,INV-RICH-0055,paid,2026-09-04T13:30:00+00:00,Metro Gadgets
MORD-RICH-0056,RICH-ORDER-0056,935.00,INR,CUST-RICH-0056,INV-RICH-0056,paid,2026-09-04T13:35:00+00:00,Harbor Pharmacy
MORD-RICH-0057,RICH-ORDER-0057,23418.00,INR,CUST-RICH-0057,INV-RICH-0057,paid,2026-09-04T13:40:00+00:00,Nova Apparel
MORD-RICH-0058,RICH-ORDER-0058,12211.00,INR,CUST-RICH-0058,INV-RICH-0058,paid,2026-09-04T13:45:00+00:00,Oak & Stone
MORD-RICH-0059,RICH-ORDER-0059,12037.00,INR,CUST-RICH-0059,INV-RICH-0059,paid,2026-09-04T13:50:00+00:00,QuickBasket
MORD-RICH-0060,RICH-ORDER-0060,15233.00,INR,CUST-RICH-0060,INV-RICH-0060,paid,2026-09-04T13:55:00+00:00,Sunrise Electronics
