transaction_id,merchant_order_id,razorpay_order_id,amount,currency,transaction_date,status,terminal_id
POS-RICH-0027,MORD-RICH-0027,RICH-ORDER-0027,501.00,INR,2026-09-04T11:10:00+00:00,success,TERM-03
POS-RICH-0028,MORD-RICH-0028,RICH-ORDER-0028,22576.00,INR,2026-09-04T11:15:00+00:00,success,TERM-04
POS-RICH-0029,MORD-RICH-0029,RICH-ORDER-0029,16190.00,INR,2026-09-04T11:20:00+00:00,success,TERM-05
POS-RICH-0030,MORD-RICH-0030,RICH-ORDER-0030,22387.00,INR,2026-09-04T11:25:00+00:00,success,TERM-06
POS-RICH-0031,MORD-RICH-0031,RICH-ORDER-0031,10421.00,INR,2026-09-04T11:30:00+00:00,success,TERM-07
POS-RICH-0032,MORD-RICH-0032,RICH-ORDER-0032,7013.00,INR,2026-09-04T11:35:00+00:00,success,TERM-08
POS-RICH-0033,MORD-RICH-0033,RICH-ORDER-0033,13141.00,INR,2026-09-04T11:40:00+00:00,success,TERM-09
POS-RICH-0034,MORD-RICH-0034,RICH-ORDER-0034,8366.00,INR,2026-09-04T11:45:00+00:00,success,TERM-10
POS-RICH-0035,MORD-RICH-0035,RICH-ORDER-0035,11517.00,INR,2026-09-04T11:50:00+00:00,success,TERM-11
POS-RICH-0036,MORD-RICH-0036,RICH-ORDER-0036,11811.00,INR,2026-09-04T11:55:00+00:00,success,TERM-12
POS-RICH-0037,MORD-RICH-0037,RICH-ORDER-0037,12457.00,INR,2026-09-04T12:00:00+00:00,success,TERM-01
POS-RICH-0038,MORD-RICH-0038,RICH-ORDER-0038,24568.00,INR,2026-09-04T12:05:00+00:00,success,TERM-02
POS-RICH-0039,MORD-RICH-0039,RICH-ORDER-0039,16954.00,INR,2026-09-04T12:10:00+00:00,success,TERM-03
POS-RICH-0040,MORD-RICH-0040,RICH-ORDER-0040,21021.00,INR,2026-09-04T12:15:00+00:00,success,TERM-04
POS-RICH-0041,MORD-RICH-0041,RICH-ORDER-0041,2625.00,INR,2026-09-04T12:20:00+00:00,success,TERM-05
POS-RICH-0042,MORD-RICH-0042,RICH-ORDER-0042,23819.00,INR,2026-09-04T12:25:00+00:00,success,TERM-06
POS-RICH-0043,MORD-RICH-0043,RICH-ORDER-0043,11279.00,INR,2026-09-04T12:30:00+00:00,success,TERM-07
POS-RICH-0044,MORD-RICH-0044,RICH-ORDER-0044,3063.00,INR,2026-09-04T12:35:00+00:00,success,TERM-08
POS-RICH-0045,MORD-RICH-0045,RICH-ORDER-0045,18391.00,INR,2026-09-04T12:40:00+00:00,success,TERM-09
POS-RICH-0046,MORD-RICH-0046,RICH-ORDER-0046,17756.00,INR,2026-09-04T12:45:00+00:00,success,TERM-10
POS-RICH-0047,MORD-RICH-0047,RICH-ORDER-0047,9697.00,INR,2026-09-04T12:50:00+00:00,success,TERM-11
POS-RICH-0048,MORD-RICH-0048,RICH-ORDER-0048,9549.00,INR,2026-09-04T12:55:00+00:00,success,TERM-12
POS-RICH-0049,MORD-RICH-0049,RICH-ORDER-0049,15114.00,INR,2026-09-04T13:00:00+00:00,success,TERM-01
POS-RICH-0050,MORD-RICH-0050,RICH-ORDER-0050,4741.00,INR,2026-09-04T13:05:00+00:00,success,TERM-02
POS-RICH-0051,MORD-RICH-0051,RICH-ORDER-0051,21253.00,INR,2026-09-04T13:10:00+00:00,success,TERM-03
POS-RICH-0052,MORD-RICH-0052,RICH-ORDER-0052,23192.00,INR,2026-09-04T13:15:00+00:00,success,TERM-04
POS-RICH-0053,MORD-RICH-0053,RICH-ORDER-0053,23600.00,INR,2026-09-04T13:20:00+00:00,success,TERM-05
POS-RICH-0054,MORD-RICH-0054,RICH-ORDER-0054,19046.00,INR,2026-09-04T13:25:00+00:00,success,TERM-06
POS-RICH-0055,MORD-RICH-0055,RICH-ORDER-0055,10250.00,INR,2026-09-04T13:30:00+00:00,success,TERM-07
POS-RICH-0056,MORD-RICH-0056,RICH-ORDER-0056,935.00,INR,2026-09-04T13:35:00+00:00,success,TERM-08
POS-RICH-0057,MORD-RICH-0057,RICH-ORDER-0057,23418.00,INR,2026-09-04T13:40:00+00:00,success,TERM-09
POS-RICH-0058,MORD-RICH-0058,RICH-ORDER-0058,12211.00,INR,2026-09-04T13:45:00+00:00,success,TERM-10
POS-RICH-0059,MORD-RICH-0059,RICH-ORDER-0059,12037.00,INR,2026-09-04T13:50:00+00:00,success,TERM-11
POS-RICH-0060,MORD-RICH-0060,RICH-ORDER-0060,15233.00,INR,2026-09-04T13:55:00+00:00,success,TERM-12
