transaction_id,utr,transaction_date,value_date,description,debit,credit,balance,reference
BTX-RICH-0018,RICH-UTR-0018,2026-09-05,2026-09-05,Settlement credit - GreenLeaf Market,0.00,14172.03,0.00,RICH-UTR-0018
BTX-RICH-0019,RICH-UTR-0019,2026-09-05,2026-09-05,Settlement credit - Metro Gadgets,0.00,7764.58,0.00,RICH-UTR-0019
BTX-RICH-0020,RICH-UTR-0020,2026-09-05,2026-09-05,Settlement credit - Harbor Pharmacy,0.00,202.21,0.00,RICH-UTR-0020
BTX-RICH-0021,RICH-UTR-0021,2026-09-05,2026-09-05,Settlement credit - Nova Apparel,0.00,19687.05,0.00,RICH-UTR-0021
BTX-RICH-0022,RICH-UTR-0022,2026-09-05,2026-09-05,Settlement credit - Oak & Stone,0.00,2692.86,0.00,RICH-UTR-0022
BTX-RICH-0023,RICH-UTR-0023,2026-09-05,2026-09-05,Settlement credit - QuickBasket,0.00,3648.49,0.00,RICH-UTR-0023
BTX-RICH-0024,RICH-UTR-0024,2026-09-05,2026-09-05,Settlement credit - Sunrise Electronics,0.00,9271.42,0.00,RICH-UTR-0024
BTX-RICH-0025,RICH-UTR-0025,2026-09-05,2026-09-05,Settlement credit - Northstar Retail,0.00,3244.07,0.00,RICH-UTR-0025
BTX-RICH-0026,RICH-UTR-0026,2026-09-05,2026-09-05,Settlement credit - BlueCart Foods,0.00,14445.21,0.00,RICH-UTR-0026
BTX-RICH-0027,RICH-UTR-0027,2026-09-05,2026-09-05,Settlement credit - UrbanNest,0.00,487.05,0.00,RICH-UTR-0027
BTX-RICH-0028,RICH-UTR-0028,2026-09-05,2026-09-05,Settlement credit - Aster Mobility,0.00,21947.31,0.00,RICH-UTR-0028
BTX-RICH-0029,RICH-UTR-0029,2026-09-05,2026-09-05,Settlement credit - Craft & Co,0.00,15739.15,0.00,RICH-UTR-0029
BTX-RICH-0030,RICH-UTR-0030,2026-09-05,2026-09-05,Settlement credit - GreenLeaf Market,0.00,21763.57,0.00,RICH-UTR-0030
BTX-RICH-0031,RICH-UTR-0031,2026-09-05,2026-09-05,Settlement credit - Metro Gadgets,0.00,10130.79,0.00,RICH-UTR-0031
BTX-RICH-0032,RICH-UTR-0032,2026-09-05,2026-09-05,Settlement credit - Harbor Pharmacy,0.00,6817.70,0.00,RICH-UTR-0032
BTX-RICH-0033,RICH-UTR-0033,2026-09-05,2026-09-05,Settlement credit - Nova Apparel,0.00,12775.05,0.00,RICH-UTR-0033
BTX-RICH-0034,RICH-UTR-0034,2026-09-05,2026-09-05,Settlement credit - Oak & Stone,0.00,8133.02,0.00,RICH-UTR-0034
BTX-RICH-0035,RICH-UTR-0035,2026-09-05,2026-09-05,Settlement credit - QuickBasket,0.00,11196.28,0.00,RICH-UTR-0035
BTX-RICH-0036,RICH-UTR-0036,2026-09-05,2026-09-05,Settlement credit - Sunrise Electronics,0.00,11482.09,0.00,RICH-UTR-0036
BTX-RICH-0037,RICH-UTR-0037,2026-09-05,2026-09-05,Settlement credit - Northstar Retail,0.00,12110.09,0.00,RICH-UTR-0037
BTX-RICH-0038,RICH-UTR-0038,2026-09-05,2026-09-05,Settlement credit - BlueCart Foods,0.00,23883.84,0.00,RICH-UTR-0038
BTX-RICH-0039,RICH-UTR-0039,2026-09-05,2026-09-05,Settlement credit - UrbanNest,0.00,16481.87,0.00,RICH-UTR-0039
BTX-RICH-0040,RICH-UTR-0040,2026-09-05,2026-09-05,Settlement credit - Aster Mobility,0.00,20375.60,0.00,RICH-UTR-0040
BTX-RICH-0041,RICH-UTR-0041,2026-09-05,2026-09-05,Settlement credit - Craft & Co,0.00,2551.90,0.00,RICH-UTR-0041
BTX-RICH-0042,RICH-UTR-0042,2026-09-05,2026-09-05,Settlement credit - GreenLeaf Market,0.00,23155.69,0.00,RICH-UTR-0042
BTX-RICH-0043,RICH-UTR-0043,2026-09-05,2026-09-05,Settlement credit - Metro Gadgets,0.00,10964.91,0.00,RICH-UTR-0043
BTX-RICH-0044,RICH-UTR-0044,2026-09-05,2026-09-05,Settlement credit - Harbor Pharmacy,0.00,2977.70,0.00,RICH-UTR-0044
BTX-RICH-0045,RICH-UTR-0045,2026-09-05,2026-09-05,Settlement credit - Nova Apparel,0.00,17878.84,0.00,RICH-UTR-0045
BTX-RICH-0046,RICH-UTR-0046,2026-09-05,2026-09-05,Settlement credit - Oak & Stone,0.00,17261.53,0.00,RICH-UTR-0046
BTX-RICH-0047,RICH-UTR-0047,2026-09-05,2026-09-05,Settlement credit - QuickBasket,0.00,9426.96,0.00,RICH-UTR-0047
BTX-RICH-0048,RICH-UTR-0048,2026-09-05,2026-09-05,Settlement credit - Sunrise Electronics,0.00,9283.08,0.00,RICH-UTR-0048
BTX-RICH-0049,RICH-UTR-0049,2026-09-05,2026-09-05,Settlement credit - Northstar Retail,0.00,14693.11,0.00,RICH-UTR-0049
BTX-RICH-0050,RICH-UTR-0050,2026-09-05,2026-09-05,Settlement credit - BlueCart Foods,0.00,4608.97,0.00,RICH-UTR-0050
BTX-RICH-0051,RICH-UTR-0051,2026-09-05,2026-09-05,Settlement credit - UrbanNest,0.00,20661.15,0.00,RICH-UTR-0051
BTX-RICH-0052,RICH-UTR-0052,2026-09-05,2026-09-05,Settlement credit - Aster Mobility,0.00,22546.15,0.00,RICH-UTR-0052
BTX-RICH-0053,RICH-UTR-0053,2026-09-05,2026-09-05,Settlement credit - Craft & Co,0.00,22942.79,0.00,RICH-UTR-0053
BTX-RICH-0054,RICH-UTR-0054,2026-09-05,2026-09-05,Settlement credit - GreenLeaf Market,0.00,18515.60,0.00,RICH-UTR-0054
BTX-RICH-0055,RICH-UTR-0055,2026-09-05,2026-09-05,Settlement credit - Metro Gadgets,0.00,9964.56,0.00,RICH-UTR-0055
BTX-RICH-0056,RICH-UTR-0056,2026-09-05,2026-09-05,Settlement credit - Harbor Pharmacy,0.00,908.96,0.00,RICH-UTR-0056
BTX-RICH-0057,RICH-UTR-0057,2026-09-05,2026-09-05,Settlement credit - Nova Apparel,0.00,22765.86,0.00,RICH-UTR-0057
BTX-RICH-0058,RICH-UTR-0058,2026-09-05,2026-09-05,Settlement credit - Oak & Stone,0.00,11870.95,0.00,RICH-UTR-0058
BTX-RICH-0059,RICH-UTR-0059,2026-09-05,2026-09-05,Settlement credit - QuickBasket,0.00,11701.80,0.00,RICH-UTR-0059
BTX-RICH-0060,RICH-UTR-0060,2026-09-05,2026-09-05,Settlement credit - Sunrise Electronics,0.00,14808.79,0.00,RICH-UTR-0060
