entry_id,merchant_order_id,account_code,entry_type,debit,credit,currency,posted_at,reference,description
LED-RICH-0030-CR,MORD-RICH-0030,SALES,credit,0.00,22387.00,INR,2026-09-04T11:25:00+00:00,MORD-RICH-0030,Sales revenue
LED-RICH-0030-DR,MORD-RICH-0030,RECEIVABLE,debit,22387.00,0.00,INR,2026-09-04T11:25:00+00:00,MORD-RICH-0030,Customer receivable
LED-RICH-0031-CR,MORD-RICH-0031,SALES,credit,0.00,10421.00,INR,2026-09-04T11:30:00+00:00,MORD-RICH-0031,Sales revenue
LED-RICH-0031-DR,MORD-RICH-0031,RECEIVABLE,debit,10421.00,0.00,INR,2026-09-04T11:30:00+00:00,MORD-RICH-0031,Customer receivable
LED-RICH-0032-CR,MORD-RICH-0032,SALES,credit,0.00,7013.00,INR,2026-09-04T11:35:00+00:00,MORD-RICH-0032,Sales revenue
LED-RICH-0032-DR,MORD-RICH-0032,RECEIVABLE,debit,7013.00,0.00,INR,2026-09-04T11:35:00+00:00,MORD-RICH-0032,Customer receivable
LED-RICH-0033-CR,MORD-RICH-0033,SALES,credit,0.00,13141.00,INR,2026-09-04T11:40:00+00:00,MORD-RICH-0033,Sales revenue
LED-RICH-0033-DR,MORD-RICH-0033,RECEIVABLE,debit,13141.00,0.00,INR,2026-09-04T11:40:00+00:00,MORD-RICH-0033,Customer receivable
LED-RICH-0034-CR,MORD-RICH-0034,SALES,credit,0.00,8366.00,INR,2026-09-04T11:45:00+00:00,MORD-RICH-0034,Sales revenue
LED-RICH-0034-DR,MORD-RICH-0034,RECEIVABLE,debit,8366.00,0.00,INR,2026-09-04T11:45:00+00:00,MORD-RICH-0034,Customer receivable
LED-RICH-0035-CR,MORD-RICH-0035,SALES,credit,0.00,11517.00,INR,2026-09-04T11:50:00+00:00,MORD-RICH-0035,Sales revenue
LED-RICH-0035-DR,MORD-RICH-0035,RECEIVABLE,debit,11517.00,0.00,INR,2026-09-04T11:50:00+00:00,MORD-RICH-0035,Customer receivable
LED-RICH-0036-CR,MORD-RICH-0036,SALES,credit,0.00,11811.00,INR,2026-09-04T11:55:00+00:00,MORD-RICH-0036,Sales revenue
LED-RICH-0036-DR,MORD-RICH-0036,RECEIVABLE,debit,11811.00,0.00,INR,2026-09-04T11:55:00+00:00,MORD-RICH-0036,Customer receivable
LED-RICH-0037-CR,MORD-RICH-0037,SALES,credit,0.00,12457.00,INR,2026-09-04T12:00:00+00:00,MORD-RICH-0037,Sales revenue
LED-RICH-0037-DR,MORD-RICH-0037,RECEIVABLE,debit,12457.00,0.00,INR,2026-09-04T12:00:00+00:00,MORD-RICH-0037,Customer receivable
LED-RICH-0038-CR,MORD-RICH-0038,SALES,credit,0.00,24568.00,INR,2026-09-04T12:05:00+00:00,MORD-RICH-0038,Sales revenue
LED-RICH-0038-DR,MORD-RICH-0038,RECEIVABLE,debit,24568.00,0.00,INR,2026-09-04T12:05:00+00:00,MORD-RICH-0038,Customer receivable
LED-RICH-0039-CR,MORD-RICH-0039,SALES,credit,0.00,16954.00,INR,2026-09-04T12:10:00+00:00,MORD-RICH-0039,Sales revenue
LED-RICH-0039-DR,MORD-RICH-0039,RECEIVABLE,debit,16954.00,0.00,INR,2026-09-04T12:10:00+00:00,MORD-RICH-0039,Customer receivable
LED-RICH-0040-CR,MORD-RICH-0040,SALES,credit,0.00,21021.00,INR,2026-09-04T12:15:00+00:00,MORD-RICH-0040,Sales revenue
LED-RICH-0040-DR,MORD-RICH-0040,RECEIVABLE,debit,21021.00,0.00,INR,2026-09-04T12:15:00+00:00,MORD-RICH-0040,Customer receivable
LED-RICH-0041-CR,MORD-RICH-0041,SALES,credit,0.00,2625.00,INR,2026-09-04T12:20:00+00:00,MORD-RICH-0041,Sales revenue
LED-RICH-0041-DR,MORD-RICH-0041,RECEIVABLE,debit,2625.00,0.00,INR,2026-09-04T12:20:00+00:00,MORD-RICH-0041,Customer receivable
LED-RICH-0042-CR,MORD-RICH-0042,SALES,credit,0.00,23819.00,INR,2026-09-04T12:25:00+00:00,MORD-RICH-0042,Sales revenue
LED-RICH-0042-DR,MORD-RICH-0042,RECEIVABLE,debit,23819.00,0.00,INR,2026-09-04T12:25:00+00:00,MORD-RICH-0042,Customer receivable
LED-RICH-0043-CR,MORD-RICH-0043,SALES,credit,0.00,11279.00,INR,2026-09-04T12:30:00+00:00,MORD-RICH-0043,Sales revenue
LED-RICH-0043-DR,MORD-RICH-0043,RECEIVABLE,debit,11279.00,0.00,INR,2026-09-04T12:30:00+00:00,MORD-RICH-0043,Customer receivable
LED-RICH-0044-CR,MORD-RICH-0044,SALES,credit,0.00,3063.00,INR,2026-09-04T12:35:00+00:00,MORD-RICH-0044,Sales revenue
LED-RICH-0044-DR,MORD-RICH-0044,RECEIVABLE,debit,3063.00,0.00,INR,2026-09-04T12:35:00+00:00,MORD-RICH-0044,Customer receivable
LED-RICH-0045-CR,MORD-RICH-0045,SALES,credit,0.00,18391.00,INR,2026-09-04T12:40:00+00:00,MORD-RICH-0045,Sales revenue
LED-RICH-0045-DR,MORD-RICH-0045,RECEIVABLE,debit,18391.00,0.00,INR,2026-09-04T12:40:00+00:00,MORD-RICH-0045,Customer receivable
LED-RICH-0046-CR,MORD-RICH-0046,SALES,credit,0.00,17756.00,INR,2026-09-04T12:45:00+00:00,MORD-RICH-0046,Sales revenue
LED-RICH-0046-DR,MORD-RICH-0046,RECEIVABLE,debit,17756.00,0.00,INR,2026-09-04T12:45:00+00:00,MORD-RICH-0046,Customer receivable
LED-RICH-0047-CR,MORD-RICH-0047,SALES,credit,0.00,9697.00,INR,2026-09-04T12:50:00+00:00,MORD-RICH-0047,Sales revenue
LED-RICH-0047-DR,MORD-RICH-0047,RECEIVABLE,debit,9697.00,0.00,INR,2026-09-04T12:50:00+00:00,MORD-RICH-0047,Customer receivable
LED-RICH-0048-CR,MORD-RICH-0048,SALES,credit,0.00,9549.00,INR,2026-09-04T12:55:00+00:00,MORD-RICH-0048,Sales revenue
LED-RICH-0048-DR,MORD-RICH-0048,RECEIVABLE,debit,9549.00,0.00,INR,2026-09-04T12:55:00+00:00,MORD-RICH-0048,Customer receivable
LED-RICH-0049-CR,MORD-RICH-0049,SALES,credit,0.00,15114.00,INR,2026-09-04T13:00:00+00:00,MORD-RICH-0049,Sales revenue
LED-RICH-0049-DR,MORD-RICH-0049,RECEIVABLE,debit,15114.00,0.00,INR,2026-09-04T13:00:00+00:00,MORD-RICH-0049,Customer receivable
LED-RICH-0050-CR,MORD-RICH-0050,SALES,credit,0.00,4741.00,INR,2026-09-04T13:05:00+00:00,MORD-RICH-0050,Sales revenue
LED-RICH-0050-DR,MORD-RICH-0050,RECEIVABLE,debit,4741.00,0.00,INR,2026-09-04T13:05:00+00:00,MORD-RICH-0050,Customer receivable
LED-RICH-0051-CR,MORD-RICH-0051,SALES,credit,0.00,21253.00,INR,2026-09-04T13:10:00+00:00,MORD-RICH-0051,Sales revenue
LED-RICH-0051-DR,MORD-RICH-0051,RECEIVABLE,debit,21253.00,0.00,INR,2026-09-04T13:10:00+00:00,MORD-RICH-0051,Customer receivable
LED-RICH-0052-CR,MORD-RICH-0052,SALES,credit,0.00,23192.00,INR,2026-09-04T13:15:00+00:00,MORD-RICH-0052,Sales revenue
LED-RICH-0052-DR,MORD-RICH-0052,RECEIVABLE,debit,23192.00,0.00,INR,2026-09-04T13:15:00+00:00,MORD-RICH-0052,Customer receivable
LED-RICH-0053-CR,MORD-RICH-0053,SALES,credit,0.00,23600.00,INR,2026-09-04T13:20:00+00:00,MORD-RICH-0053,Sales revenue
LED-RICH-0053-DR,MORD-RICH-0053,RECEIVABLE,debit,23600.00,0.00,INR,2026-09-04T13:20:00+00:00,MORD-RICH-0053,Customer receivable
LED-RICH-0054-CR,MORD-RICH-0054,SALES,credit,0.00,19046.00,INR,2026-09-04T13:25:00+00:00,MORD-RICH-0054,Sales revenue
LED-RICH-0054-DR,MORD-RICH-0054,RECEIVABLE,debit,19046.00,0.00,INR,2026-09-04T13:25:00+00:00,MORD-RICH-0054,Customer receivable
LED-RICH-0055-CR,MORD-RICH-0055,SALES,credit,0.00,10250.00,INR,2026-09-04T13:30:00+00:00,MORD-RICH-0055,Sales revenue
LED-RICH-0055-DR,MORD-RICH-0055,RECEIVABLE,debit,10250.00,0.00,INR,2026-09-04T13:30:00+00:00,MORD-RICH-0055,Customer receivable
LED-RICH-0056-CR,MORD-RICH-0056,SALES,credit,0.00,935.00,INR,2026-09-04T13:35:00+00:00,MORD-RICH-0056,Sales revenue
LED-RICH-0056-DR,MORD-RICH-0056,RECEIVABLE,debit,935.00,0.00,INR,2026-09-04T13:35:00+00:00,MORD-RICH-0056,Customer receivable
LED-RICH-0057-CR,MORD-RICH-0057,SALES,credit,0.00,23418.00,INR,2026-09-04T13:40:00+00:00,MORD-RICH-0057,Sales revenue
LED-RICH-0057-DR,MORD-RICH-0057,RECEIVABLE,debit,23418.00,0.00,INR,2026-09-04T13:40:00+00:00,MORD-RICH-0057,Customer receivable
LED-RICH-0058-CR,MORD-RICH-0058,SALES,credit,0.00,12211.00,INR,2026-09-04T13:45:00+00:00,MORD-RICH-0058,Sales revenue
LED-RICH-0058-DR,MORD-RICH-0058,RECEIVABLE,debit,12211.00,0.00,INR,2026-09-04T13:45:00+00:00,MORD-RICH-0058,Customer receivable
LED-RICH-0059-CR,MORD-RICH-0059,SALES,credit,0.00,12037.00,INR,2026-09-04T13:50:00+00:00,MORD-RICH-0059,Sales revenue
LED-RICH-0059-DR,MORD-RICH-0059,RECEIVABLE,debit,12037.00,0.00,INR,2026-09-04T13:50:00+00:00,MORD-RICH-0059,Customer receivable
LED-RICH-0060-CR,MORD-RICH-0060,SALES,credit,0.00,15233.00,INR,2026-09-04T13:55:00+00:00,MORD-RICH-0060,Sales revenue
LED-RICH-0060-DR,MORD-RICH-0060,RECEIVABLE,debit,15233.00,0.00,INR,2026-09-04T13:55:00+00:00,MORD-RICH-0060,Customer receivable
LED-RICH-0011-EXTRA,MORD-RICH-0011,MANUAL_ADJUSTMENT,credit,0.00,100.00,INR,2026-09-04T09:50:00+00:00,MORD-RICH-0011,Manual adjustment
